Injected_Bus,Injected_Phase,Penetration_Scenario,Affected_Bus,Affected_Phase,Active_Sensitivity,Reactive_Sensitivity,V0,V_PF,V_TJSM,Error_Percent_V_TJSM
1,0,1.0,2,0,2.9933,9.7408,1.0319,1.0432,1.0434,0.0164642905
1,0,1.0,2,1,0.0259,0.0018,1.0436,1.0436,1.0436,6.82732e-05
1,0,1.0,2,2,-0.0109,-0.0281,1.002,1.002,1.002,-8.42317e-05
1,0,1.0,3,0,3.0071,9.8406,1.0222,1.0336,1.0338,0.0168935301
1,0,1.0,3,1,0.0521,0.0022,1.0428,1.0428,1.0428,0.0001347027
1,0,1.0,3,2,-0.022,-0.0521,0.9948,0.9947,0.9947,-0.0001627528
1,0,1.0,4,0,3.0127,9.7722,1.0307,1.0421,1.0422,0.0165979532
1,0,1.0,4,1,0.0341,-0.0055,1.0368,1.0368,1.0368,7.60386e-05
1,0,1.0,4,2,-0.0211,-0.033,0.9993,0.9992,0.9992,-0.0001204821
1,0,1.0,5,0,2.994,9.7426,1.0321,1.0435,1.0437,0.0164670885
1,0,1.0,5,1,0.0263,0.0015,1.0419,1.0419,1.0419,6.88124e-05
1,0,1.0,5,2,-0.0113,-0.0284,1.0003,1.0003,1.0003,-8.59781e-05
1,0,1.0,6,0,3.0249,9.7699,1.0326,1.0441,1.0442,0.0165864049
1,0,1.0,6,1,0.0343,-0.0054,1.0295,1.0295,1.0295,7.80657e-05
1,0,1.0,6,2,-0.0212,-0.0331,0.9974,0.9973,0.9973,-0.0001213415
1,0,1.0,7,0,3.0402,9.7671,1.0338,1.0453,1.0454,0.0165882343
1,0,1.0,7,1,0.0346,-0.0055,1.0206,1.0206,1.0206,7.98764e-05
1,0,1.0,7,2,-0.0213,-0.033,0.9975,0.9974,0.9974,-0.0001216701
1,0,1.0,8,0,3.0259,10.0068,1.0091,1.0207,1.0209,0.0175811133
1,0,1.0,8,1,0.0892,-0.0308,1.0442,1.0442,1.0442,0.0001640474
1,0,1.0,8,2,-0.0694,-0.0796,0.983,0.9829,0.9829,-0.0003486042
1,0,1.0,9,0,3.021,9.9592,1.0131,1.0246,1.0248,0.0173804796
1,0,1.0,9,1,0.0787,-0.0213,1.0431,1.0432,1.0432,0.00015588
1,0,1.0,9,2,-0.0559,-0.0717,0.9859,0.9858,0.9858,-0.0002951723
1,0,1.0,10,0,3.0354,10.1185,1.0005,1.0122,1.0124,0.0180471584
1,0,1.0,10,1,0.114,-0.0526,1.0454,1.0455,1.0455,0.0001844028
1,0,1.0,10,2,-0.1012,-0.0984,0.9737,0.9735,0.9735,-0.0004781158
1,0,1.0,11,0,3.0457,10.2129,0.992,1.0038,1.004,0.0184677685
1,0,1.0,11,1,0.1345,-0.0712,1.0493,1.0494,1.0494,0.0001993311
1,0,1.0,11,2,-0.1276,-0.1144,0.9705,0.9703,0.9703,-0.0005854712
1,0,1.0,12,0,2.9917,9.743,1.0323,1.0436,1.0438,0.0164628837
1,0,1.0,12,1,0.0263,0.0015,1.0421,1.0421,1.0421,6.8807e-05
1,0,1.0,12,2,-0.0114,-0.0284,0.9991,0.999,0.999,-8.61806e-05
1,0,1.0,13,0,2.9993,9.754,1.0315,1.0428,1.043,0.0165157806
1,0,1.0,13,1,0.0292,-0.0012,1.0409,1.041,1.041,7.14279e-05
1,0,1.0,13,2,-0.0151,-0.0302,1.0002,1.0002,1.0002,-9.91882e-05
1,0,1.0,14,0,3.0143,9.7767,1.0302,1.0416,1.0418,0.0166191128
1,0,1.0,14,1,0.0348,-0.0063,1.0367,1.0368,1.0368,7.63774e-05
1,0,1.0,14,2,-0.0221,-0.0335,0.9994,0.9993,0.9993,-0.0001239341
1,0,1.0,15,0,3.022,9.8016,1.0276,1.039,1.0392,0.0167338694
1,0,1.0,15,1,0.0387,-0.0107,1.0371,1.0371,1.0371,7.795e-05
1,0,1.0,15,2,-0.0278,-0.0356,0.9997,0.9996,0.9996,-0.0001425488
1,0,1.0,16,0,3.0223,9.7704,1.0324,1.0439,1.044,0.016586011
1,0,1.0,16,1,0.0343,-0.0054,1.0305,1.0305,1.0305,7.78069e-05
1,0,1.0,16,2,-0.0212,-0.0331,0.9972,0.9971,0.9971,-0.0001213281
1,0,1.0,17,0,3.0419,9.7667,1.034,1.0454,1.0456,0.0165883174
1,0,1.0,17,1,0.0347,-0.0055,1.0196,1.0196,1.0196,8.00863e-05
1,0,1.0,17,2,-0.0213,-0.033,0.9975,0.9974,0.9974,-0.0001217101
1,0,1.0,18,0,3.044,9.7663,1.0341,1.0455,1.0457,0.0165893767
1,0,1.0,18,1,0.0347,-0.0055,1.0187,1.0187,1.0187,8.0276e-05
1,0,1.0,18,2,-0.0213,-0.033,0.9978,0.9977,0.9977,-0.0001216859
1,0,1.0,19,0,3.0263,9.7696,1.0327,1.0441,1.0443,0.0165868439
1,0,1.0,19,1,0.0344,-0.0054,1.0288,1.0288,1.0288,7.82095e-05
1,0,1.0,19,2,-0.0213,-0.0331,0.9975,0.9974,0.9974,-0.0001213478
1,0,1.0,20,0,3.0113,9.8584,1.0206,1.0321,1.0322,0.0169716246
1,0,1.0,20,1,0.055,-0.0008,1.0426,1.0426,1.0427,0.0001363915
1,0,1.0,20,2,-0.026,-0.0539,0.9938,0.9938,0.9938,-0.0001766305
1,0,1.0,21,0,3.0169,9.8768,1.0189,1.0304,1.0306,0.0170540513
1,0,1.0,21,1,0.0591,-0.0045,1.0421,1.0422,1.0422,0.0001397545
1,0,1.0,21,2,-0.0311,-0.0565,0.9933,0.9932,0.9932,-0.0001952619
1,0,1.0,22,0,3.0175,9.8787,1.0186,1.0301,1.0303,0.0170646816
1,0,1.0,22,1,0.0594,-0.0049,1.0426,1.0426,1.0426,0.000139749
1,0,1.0,22,2,-0.0315,-0.0566,0.9938,0.9937,0.9937,-0.000196548
1,0,1.0,23,0,3.0161,9.9298,1.0154,1.027,1.0271,0.0172556458
1,0,1.0,23,1,0.072,-0.0154,1.0432,1.0432,1.0432,0.0001506129
1,0,1.0,23,2,-0.0475,-0.0668,0.9876,0.9875,0.9875,-0.0002620466
1,0,1.0,24,0,3.0261,9.9583,1.0134,1.025,1.0252,0.0173813528
1,0,1.0,24,1,0.0788,-0.0214,1.0412,1.0413,1.0413,0.0001566131
1,0,1.0,24,2,-0.0559,-0.0716,0.9863,0.9862,0.9862,-0.0002950217
1,0,1.0,25,0,3.0243,10.0071,1.0092,1.0208,1.021,0.0175781647
1,0,1.0,25,1,0.0892,-0.0307,1.0443,1.0444,1.0444,0.0001641341
1,0,1.0,25,2,-0.0695,-0.0796,0.9822,0.9821,0.9821,-0.0003492002
1,0,1.0,26,0,3.0323,10.0541,1.0051,1.0168,1.017,0.0177858033
1,0,1.0,26,1,0.0997,-0.0402,1.0451,1.0451,1.0451,0.0001720842
1,0,1.0,26,2,-0.0829,-0.0874,0.9807,0.9805,0.9805,-0.0004019873
1,0,1.0,27,0,3.0379,10.1181,1.0,1.0117,1.0119,0.0180564679
1,0,1.0,27,1,0.1138,-0.0527,1.0463,1.0464,1.0464,0.000183452
1,0,1.0,27,2,-0.1009,-0.0982,0.9762,0.976,0.976,-0.0004755619
1,0,1.0,28,0,3.0335,10.1188,1.0006,1.0123,1.0125,0.0180433341
1,0,1.0,28,1,0.114,-0.0525,1.0455,1.0456,1.0456,0.0001845762
